combo_id,status,profit,prices
43,Optimal,4636.170066666666,"{""1-Local"": 6.62, ""1-Supermarket"": 6.82, ""1-Online"": 7.02, ""2-Local"": 10.42, ""2-Supermarket"": 6.8, ""2-Online"": 9.04}"
44,Optimal,4810.810066666666,"{""1-Local"": 6.62, ""1-Supermarket"": 6.82, ""1-Online"": 7.02, ""2-Local"": 10.42, ""2-Supermarket"": 6.8, ""2-Online"": 12.92}"
45,Optimal,4847.440066666665,"{""1-Local"": 6.62, ""1-Supermarket"": 6.82, ""1-Online"": 7.02, ""2-Local"": 10.42, ""2-Supermarket"": 6.8, ""2-Online"": 16.79}"
46,Optimal,4709.1074,"{""1-Local"": 6.62, ""1-Supermarket"": 6.82, ""1-Online"": 7.02, ""2-Local"": 10.42, ""2-Supermarket"": 6.8, ""2-Online"": 20.67}"
47,Optimal,4429.803400000001,"{""1-Local"": 6.62, ""1-Supermarket"": 6.82, ""1-Online"": 7.02, ""2-Local"": 10.42, ""2-Supermarket"": 6.8, ""2-Online"": 24.55}"
48,Optimal,4515.672066666669,"{""1-Local"": 6.62, ""1-Supermarket"": 6.82, ""1-Online"": 7.02, ""2-Local"": 10.42, ""2-Supermarket"": 8.63, ""2-Online"": 5.16}"
49,Optimal,4724.526733333335,"{""1-Local"": 6.62, ""1-Supermarket"": 6.82, ""1-Online"": 7.02, ""2-Local"": 10.42, ""2-Supermarket"": 8.63, ""2-Online"": 9.04}"
50,Optimal,4909.630066666666,"{""1-Local"": 6.62, ""1-Supermarket"": 6.82, ""1-Online"": 7.02, ""2-Local"": 10.42, ""2-Supermarket"": 8.63, ""2-Online"": 12.92}"
51,Optimal,4927.757400000001,"{""1-Local"": 6.62, ""1-Supermarket"": 6.82, ""1-Online"": 7.02, ""2-Local"": 10.42, ""2-Supermarket"": 8.63, ""2-Online"": 16.79}"
52,Optimal,4769.193399999999,"{""1-Local"": 6.62, ""1-Supermarket"": 6.82, ""1-Online"": 7.02, ""2-Local"": 10.42, ""2-Supermarket"": 8.63, ""2-Online"": 20.67}"
53,Optimal,4504.630733333334,"{""1-Local"": 6.62, ""1-Supermarket"": 6.82, ""1-Online"": 7.02, ""2-Local"": 10.42, ""2-Supermarket"": 8.63, ""2-Online"": 24.55}"
54,Optimal,4522.759400000001,"{""1-Local"": 6.62, ""1-Supermarket"": 6.82, ""1-Online"": 7.02, ""2-Local"": 10.42, ""2-Supermarket"": 10.46, ""2-Online"": 5.16}"
55,Optimal,4769.1300666666675,"{""1-Local"": 6.62, ""1-Supermarket"": 6.82, ""1-Online"": 7.02, ""2-Local"": 10.42, ""2-Supermarket"": 10.46, ""2-Online"": 9.04}"
56,Optimal,4927.7274,"{""1-Local"": 6.62, ""1-Supermarket"": 6.82, ""1-Online"": 7.02, ""2-Local"": 10.42, ""2-Supermarket"": 10.46, ""2-Online"": 12.92}"
57,Optimal,4909.153400000001,"{""1-Local"": 6.62, ""1-Supermarket"": 6.82, ""1-Online"": 7.02, ""2-Local"": 10.42, ""2-Supermarket"": 10.46, ""2-Online"": 16.79}"
58,Optimal,4781.8007333333335,"{""1-Local"": 6.62, ""1-Supermarket"": 6.82, ""1-Online"": 7.02, ""2-Local"": 10.42, ""2-Supermarket"": 10.46, ""2-Online"": 20.67}"
59,Optimal,4520.8980666666685,"{""1-Local"": 6.62, ""1-Supermarket"": 6.82, ""1-Online"": 7.02, ""2-Local"": 10.42, ""2-Supermarket"": 10.46, ""2-Online"": 24.55}"
60,Optimal,4463.9454000000005,"{""1-Local"": 6.62, ""1-Supermarket"": 6.82, ""1-Online"": 7.02, ""2-Local"": 10.42, ""2-Supermarket"": 12.29, ""2-Online"": 5.16}"
61,Optimal,4718.3174,"{""1-Local"": 6.62, ""1-Supermarket"": 6.82, ""1-Online"": 7.02, ""2-Local"": 10.42, ""2-Supermarket"": 12.29, ""2-Online"": 9.04}"
62,Optimal,4840.6134,"{""1-Local"": 6.62, ""1-Supermarket"": 6.82, ""1-Online"": 7.02, ""2-Local"": 10.42, ""2-Supermarket"": 12.29, ""2-Online"": 12.92}"
63,Optimal,4862.720733333335,"{""1-Local"": 6.62, ""1-Supermarket"": 6.82, ""1-Online"": 7.02, ""2-Local"": 10.42, ""2-Supermarket"": 12.29, ""2-Online"": 16.79}"
64,Optimal,4735.848066666667,"{""1-Local"": 6.62, ""1-Supermarket"": 6.82, ""1-Online"": 7.02, ""2-Local"": 10.42, ""2-Supermarket"": 12.29, ""2-Online"": 20.67}"
65,Optimal,4433.624066666669,"{""1-Local"": 6.62, ""1-Supermarket"": 6.82, ""1-Online"": 7.02, ""2-Local"": 10.42, ""2-Supermarket"": 12.29, ""2-Online"": 24.55}"
66,Optimal,4331.952733333334,"{""1-Local"": 6.62, ""1-Supermarket"": 6.82, ""1-Online"": 7.02, ""2-Local"": 10.42, ""2-Supermarket"": 14.13, ""2-Online"": 5.16}"
67,Optimal,4570.563400000001,"{""1-Local"": 6.62, ""1-Supermarket"": 6.82, ""1-Online"": 7.02, ""2-Local"": 10.42, ""2-Supermarket"": 14.13, ""2-Online"": 9.04}"
68,Optimal,4725.600733333335,"{""1-Local"": 6.62, ""1-Supermarket"": 6.82, ""1-Online"": 7.02, ""2-Local"": 10.42, ""2-Supermarket"": 14.13, ""2-Online"": 12.92}"
69,Optimal,4747.708066666668,"{""1-Local"": 6.62, ""1-Supermarket"": 6.82, ""1-Online"": 7.02, ""2-Local"": 10.42, ""2-Supermarket"": 14.13, ""2-Online"": 16.79}"
70,Optimal,4579.194066666668,"{""1-Local"": 6.62, ""1-Supermarket"": 6.82, ""1-Online"": 7.02, ""2-Local"": 10.42, ""2-Supermarket"": 14.13, ""2-Online"": 20.67}"
71,Optimal,4318.611400000002,"{""1-Local"": 6.62, ""1-Supermarket"": 6.82, ""1-Online"": 7.02, ""2-Local"": 10.42, ""2-Supermarket"": 14.13, ""2-Online"": 24.55}"
72,Optimal,4503.370066666668,"{""1-Local"": 6.62, ""1-Supermarket"": 6.82, ""1-Online"": 7.02, ""2-Local"": 16.08, ""2-Supermarket"": 4.96, ""2-Online"": 5.16}"
